Date,Open,High,Low,Close,Adj Close,Volume
2023-05-17,0.005408,0.005434,0.005302,0.005363,0.005363,327
2023-05-18,0.005363,0.005367,0.005200,0.005263,0.005263,161
2023-05-19,0.005264,0.005380,0.005254,0.005368,0.005368,436
2023-05-20,0.005372,0.005999,0.005358,0.005730,0.005730,4980
2023-05-21,0.005731,0.005756,0.005588,0.005601,0.005601,463
2023-05-22,0.005601,0.006228,0.005567,0.006224,0.006224,3291
2023-05-23,0.006224,0.006407,0.006218,0.006385,0.006385,204
2023-05-24,0.006381,0.006390,0.005883,0.005914,0.005914,2025
2023-05-25,0.005916,0.005973,0.005800,0.005944,0.005944,157
2023-05-26,0.005943,0.005988,0.005917,0.005964,0.005964,395
2023-05-27,0.005965,0.005983,0.005896,0.005936,0.005936,482
2023-05-28,0.005937,0.006244,0.005921,0.006232,0.006232,334
2023-05-29,0.006231,0.006339,0.006181,0.006318,0.006318,769
2023-05-30,0.006314,0.006391,0.006289,0.006386,0.006386,0
2023-05-31,0.006386,0.006386,0.006176,0.006238,0.006238,134
2023-06-01,0.006238,0.006282,0.006050,0.006057,0.006057,751
2023-06-02,0.006055,0.006212,0.006027,0.006133,0.006133,1718
2023-06-03,0.006133,0.006140,0.006062,0.006081,0.006081,110
2023-06-04,0.006078,0.006136,0.006038,0.006046,0.006046,542
2023-06-05,0.006046,0.006047,0.005584,0.005652,0.005652,1182
2023-06-06,0.005652,0.005652,0.005293,0.005427,0.005427,2087
2023-06-07,0.005428,0.005458,0.005158,0.005180,0.005180,948
2023-06-08,0.005180,0.005216,0.004715,0.004724,0.004724,5288
2023-06-09,0.004724,0.004728,0.004277,0.004284,0.004284,1787
2023-06-10,0.004284,0.004293,0.003896,0.004030,0.004030,1779
2023-06-11,0.004031,0.004125,0.004016,0.004070,0.004070,281
2023-06-12,0.004071,0.004079,0.003797,0.003840,0.003840,1505
2023-06-13,0.003840,0.003891,0.003816,0.003840,0.003840,104
2023-06-14,0.003840,0.003914,0.003668,0.003708,0.003708,447
2023-06-15,0.003708,0.003784,0.003653,0.003757,0.003757,85
2023-06-16,0.003757,0.003897,0.003732,0.003877,0.003877,20
2023-06-17,0.003876,0.003971,0.003872,0.003926,0.003926,0
2023-06-18,0.003926,0.003926,0.003926,0.003926,0.003926,0
2023-06-19,0.003926,0.003926,0.003762,0.003765,0.003765,1102
2023-06-20,0.003768,0.003791,0.003636,0.003786,0.003786,1196
2023-06-21,0.003786,0.004110,0.003779,0.004063,0.004063,1348
2023-06-22,0.004061,0.004146,0.004001,0.004012,0.004012,10
2023-06-23,0.004013,0.004159,0.003997,0.004073,0.004073,152
2023-06-24,0.004075,0.004082,0.003995,0.004011,0.004011,205
2023-06-25,0.004010,0.004010,0.004010,0.004010,0.004010,0
2023-06-26,0.004010,0.004010,0.003944,0.003964,0.003964,60
2023-06-27,0.003964,0.004028,0.003944,0.003988,0.003988,419
2023-06-28,0.003988,0.003988,0.003792,0.003806,0.003806,934
2023-06-29,0.003806,0.003943,0.003806,0.003938,0.003938,510
2023-06-30,0.003937,0.004137,0.003915,0.004120,0.004120,34
2023-07-01,0.004121,0.004121,0.004073,0.004097,0.004097,26
2023-07-02,0.004097,0.004184,0.004039,0.004145,0.004145,270
2023-07-03,0.004145,0.004217,0.004141,0.004199,0.004199,0
2023-07-04,0.004199,0.004199,0.004199,0.004199,0.004199,0
2023-07-05,0.004199,0.004199,0.004091,0.004105,0.004105,85
2023-07-06,0.004105,0.004193,0.003981,0.003981,0.003981,163
2023-07-07,0.003981,0.004024,0.003945,0.004015,0.004015,50
2023-07-08,0.004016,0.004021,0.003952,0.003992,0.003992,86
2023-07-09,0.003992,0.004021,0.003984,0.003996,0.003996,83
2023-07-10,0.003996,0.004096,0.003970,0.004049,0.004049,106
2023-07-11,0.004049,0.004060,0.003998,0.004025,0.004025,134
2023-07-12,0.004025,0.004091,0.003973,0.003984,0.003984,599
2023-07-13,0.003984,0.004276,0.003968,0.004271,0.004271,170
2023-07-14,0.004272,0.004302,0.004046,0.004119,0.004119,22
2023-07-15,0.004122,0.004139,0.004106,0.004116,0.004116,119
2023-07-16,0.004116,0.004130,0.004091,0.004120,0.004120,0
2023-07-17,0.004120,0.004120,0.004016,0.004071,0.004071,27
2023-07-18,0.004070,0.004091,0.004039,0.004067,0.004067,182
2023-07-19,0.004066,0.004139,0.004065,0.004078,0.004078,190
2023-07-20,0.004078,0.004078,0.004077,0.004077,0.004077,0
2023-07-21,0.004077,0.004104,0.004077,0.004099,0.004099,164
2023-07-22,0.004098,0.004140,0.004014,0.004031,0.004031,1226
2023-07-23,0.004032,0.004066,0.003985,0.004022,0.004022,381
2023-07-24,0.004020,0.004026,0.003894,0.003911,0.003911,397
2023-07-25,0.003911,0.003935,0.003905,0.003920,0.003920,0
2023-07-26,0.003920,0.004040,0.003899,0.004005,0.004005,772
2023-07-27,0.004005,0.004039,0.003722,0.003736,0.003736,2297
2023-07-28,0.003736,0.003752,0.003731,0.003752,0.003752,0
2023-07-29,0.003752,0.003784,0.003752,0.003775,0.003775,46
2023-07-30,0.003776,0.003777,0.003761,0.003764,0.003764,0
2023-07-31,0.003764,0.003764,0.003764,0.003764,0.003764,0
2023-08-01,0.003764,0.003764,0.003709,0.003757,0.003757,4
2023-08-02,0.003757,0.003766,0.003721,0.003732,0.003732,0
2023-08-03,0.003732,0.003732,0.003631,0.003639,0.003639,486
2023-08-04,0.003639,0.003646,0.003593,0.003608,0.003608,67
2023-08-05,0.003608,0.003608,0.003608,0.003608,0.003608,0
2023-08-06,0.003608,0.003627,0.003602,0.003605,0.003605,123
2023-08-07,0.003608,0.003634,0.003599,0.003614,0.003614,0
2023-08-08,0.003614,0.003695,0.003603,0.003661,0.003661,53
2023-08-09,0.003659,0.003674,0.003654,0.003670,0.003670,0
2023-08-10,0.003670,0.003670,0.003670,0.003670,0.003670,0
2023-08-11,0.003670,0.003670,0.003670,0.003670,0.003670,0
2023-08-12,0.003670,0.003670,0.003670,0.003670,0.003670,0
2023-08-13,0.003670,0.003670,0.003620,0.003626,0.003626,4
2023-08-14,0.003626,0.003662,0.003626,0.003644,0.003644,55
2023-08-15,0.003644,0.003644,0.003644,0.003644,0.003644,0
2023-08-16,0.003644,0.003644,0.003644,0.003644,0.003644,0
2023-08-17,0.003644,0.003644,0.003082,0.003304,0.003304,210
2023-08-18,0.003304,0.003328,0.003215,0.003245,0.003245,62
2023-08-19,0.003245,0.003261,0.003233,0.003244,0.003244,0
2023-08-20,0.003244,0.003305,0.003244,0.003290,0.003290,9
2023-08-21,0.003290,0.003291,0.003251,0.003266,0.003266,56
2023-08-22,0.003266,0.003290,0.003197,0.003276,0.003276,965
2023-08-23,0.003276,0.003412,0.003270,0.003367,0.003367,429
2023-08-24,0.003367,0.003373,0.003188,0.003205,0.003205,930
2023-08-25,0.003204,0.003210,0.003182,0.003192,0.003192,0
2023-08-26,0.003192,0.003192,0.003137,0.003138,0.003138,364
2023-08-27,0.003138,0.003191,0.003138,0.003191,0.003191,288
2023-08-28,0.003191,0.003191,0.003135,0.003153,0.003153,0
2023-08-29,0.003153,0.003384,0.003153,0.003372,0.003372,327
2023-08-30,0.003372,0.003397,0.003339,0.003396,0.003396,407
2023-08-31,0.003395,0.003435,0.003283,0.003301,0.003301,165
2023-09-01,0.003301,0.003315,0.003258,0.003276,0.003276,59
2023-09-02,0.003276,0.003285,0.003146,0.003151,0.003151,1219
2023-09-03,0.003151,0.003154,0.003098,0.003120,0.003120,145
2023-09-04,0.003120,0.003120,0.000129,0.000449,0.000449,18476
2023-09-05,0.000449,0.002144,0.000363,0.000380,0.000380,10166
2023-09-06,0.000380,0.000410,0.000379,0.000410,0.000410,123
2023-09-07,0.000410,0.000589,0.000403,0.000587,0.000587,661
2023-09-08,0.000587,0.000716,0.000586,0.000624,0.000624,589
2023-09-09,0.000624,0.000656,0.000623,0.000655,0.000655,83
2023-09-10,0.000655,0.000680,0.000648,0.000676,0.000676,105
2023-09-11,0.000676,0.000684,0.000662,0.000668,0.000668,148
2023-09-12,0.000668,0.000697,0.000668,0.000679,0.000679,19
2023-09-13,0.000679,0.000704,0.000552,0.000703,0.000703,1215
2023-09-14,0.000703,0.001251,0.000703,0.001013,0.001013,2374
2023-09-15,0.001013,0.001099,0.001009,0.001092,0.001092,161
2023-09-16,0.001092,0.001653,0.001091,0.001650,0.001650,1226
2023-09-17,0.001650,0.002113,0.001265,0.001269,0.001269,2804
2023-09-18,0.001269,0.001519,0.001260,0.001500,0.001500,406
2023-09-19,0.001500,0.001519,0.001423,0.001450,0.001450,610
2023-09-20,0.001450,0.001549,0.001447,0.001535,0.001535,29
2023-09-21,0.001535,0.001535,0.001189,0.001204,0.001204,758
2023-09-22,0.001204,0.001268,0.001201,0.001267,0.001267,325
2023-09-23,0.001267,0.001270,0.001265,0.001266,0.001266,0
2023-09-24,0.001266,0.001266,0.001052,0.001055,0.001055,506
2023-09-25,0.001055,0.001058,0.000874,0.000914,0.000914,491
2023-09-26,0.000914,0.001092,0.000914,0.001092,0.001092,356
2023-09-27,0.001092,0.001249,0.001090,0.001249,0.001249,465
2023-09-28,0.001249,0.001316,0.001249,0.001270,0.001270,448
2023-09-29,0.001270,0.001285,0.001206,0.001207,0.001207,284
2023-09-30,0.001207,0.001210,0.001167,0.001195,0.001195,103
2023-10-01,0.001195,0.001335,0.001195,0.001334,0.001334,169
2023-10-02,0.001334,0.002993,0.001322,0.002384,0.002384,3731
2023-10-03,0.002384,0.002417,0.002062,0.002128,0.002128,1697
2023-10-04,0.002129,0.002165,0.002102,0.002159,0.002159,66
2023-10-05,0.002160,0.002184,0.002119,0.002120,0.002120,70
2023-10-06,0.002119,0.002154,0.002119,0.002148,0.002148,0
2023-10-07,0.002148,0.002151,0.002148,0.002150,0.002150,8
2023-10-08,0.002150,0.002160,0.002128,0.002154,0.002154,10
2023-10-09,0.002154,0.002154,0.002058,0.002091,0.002091,78
2023-10-10,0.002093,0.002225,0.002093,0.002214,0.002214,191
2023-10-11,0.002214,0.002356,0.001325,0.001461,0.001461,2284
2023-10-12,0.001461,0.001807,0.001459,0.001792,0.001792,702
2023-10-13,0.001792,0.001863,0.001781,0.001837,0.001837,123
2023-10-14,0.001837,0.001930,0.001831,0.001929,0.001929,98
2023-10-15,0.001929,0.001932,0.001712,0.001715,0.001715,356
2023-10-16,0.001715,0.001811,0.001714,0.001778,0.001778,35
2023-10-17,0.001778,0.001790,0.001629,0.001639,0.001639,270
2023-10-18,0.001639,0.001660,0.001638,0.001650,0.001650,0
2023-10-19,0.001650,0.001650,0.001523,0.001533,0.001533,498
2023-10-20,0.001533,0.001694,0.001530,0.001689,0.001689,263
2023-10-21,0.001689,0.001792,0.001681,0.001787,0.001787,58
2023-10-22,0.001787,0.001829,0.001783,0.001825,0.001825,9
2023-10-23,0.001825,0.002060,0.001803,0.002025,0.002025,232
2023-10-24,0.002027,0.002219,0.001712,0.001713,0.001713,848
2023-10-25,0.001713,0.001740,0.000735,0.000983,0.000983,2912
2023-10-26,0.000983,0.001055,0.000983,0.001036,0.001036,45
2023-10-27,0.001036,0.001043,0.001019,0.001035,0.001035,38
2023-10-28,0.001035,0.001073,0.001035,0.001059,0.001059,85
2023-10-29,0.001059,0.001096,0.001059,0.001088,0.001088,4
2023-10-30,0.001089,0.001089,0.001076,0.001076,0.001076,0
2023-10-31,0.001076,0.001102,0.001076,0.001101,0.001101,2
2023-11-01,0.001101,0.001101,0.001097,0.001097,0.001097,0
2023-11-02,0.001097,0.001126,0.001097,0.001118,0.001118,68
2023-11-03,0.001118,0.001156,0.001106,0.001155,0.001155,28
2023-11-04,0.001155,0.003954,0.000695,0.002098,0.002098,35472
2023-11-05,0.002098,0.002493,0.002064,0.002266,0.002266,1330
2023-11-06,0.002266,0.002437,0.002213,0.002216,0.002216,868
2023-11-07,0.002216,0.002245,0.001858,0.001994,0.001994,1579
2023-11-08,0.001993,0.002110,0.001982,0.002096,0.002096,217
2023-11-09,0.002094,0.002536,0.002087,0.002527,0.002527,175
2023-11-10,0.002526,0.003027,0.002499,0.003001,0.003001,1208
2023-11-11,0.003000,0.003327,0.002680,0.003268,0.003268,1699
2023-11-12,0.003268,0.010114,0.001890,0.009576,0.009576,24383
2023-11-13,0.009578,0.009582,0.001298,0.002945,0.002945,15033
2023-11-14,0.002944,0.003260,0.002910,0.003239,0.003239,931
2023-11-15,0.003239,0.003989,0.003221,0.003989,0.003989,1371
2023-11-16,0.003987,0.006441,0.003201,0.004385,0.004385,16531
2023-11-17,0.004382,0.004977,0.004361,0.004959,0.004959,2010
2023-11-18,0.004963,0.005687,0.004633,0.004753,0.004753,3204
2023-11-19,0.004752,0.004754,0.003926,0.004707,0.004707,3142
2023-11-20,0.004707,0.004953,0.003448,0.004425,0.004425,4608
2023-11-21,0.004425,0.004922,0.004315,0.004580,0.004580,4485
2023-11-22,0.004577,0.005632,0.004442,0.005462,0.005462,5293
